idx,words,lid,sa
1634,"['Yo' 'quiero' 'que' 'mi' 'soon' 'to' 'be' 'husband' 'me' 'mire' 'asi'
 '😍😍😍😍😍😍' 'coño']","['lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang1' 'lang1' 'lang1' 'lang2'
 'lang2' 'lang2' 'other' 'lang2']",positive
1635,"['El' 'look' 'de' 'hoy' 'de' '@azucenacierco' 'en' 'unnuevodia' '.'
 'Bella' 'con' 'su' 'nuevo' 'color' 'de' 'pelo' '.' 'Vestido' '…'
 'http://t.co/skfKKUdh7z']","['lang2' 'lang1' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'other'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2'
 'other' 'other']",positive
1636,"['@christigonz97' 'mira' 'maaa' ',' 'Yo' 'me' 'tome' 'una' 'foto'
 'contigo' 'en' 'el' 'relevo' 'right' '?!' '😉']","['other' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'other' 'other']",positive
1637,"['""' '@FactSoup' ':' 'Do' ""n't"" 'wait' 'too' 'long' ',' 'you' 'might'
 'miss' 'your' 'chance' '.' '""' 'La' 'Vida' 'pasa' '.']","['other' 'other' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'other' 'lang2' 'lang2'
 'lang2' 'other']",positive
1638,"['New' 'arrivals' '!' 'Todo' 'lo' 'NUEVO' 'disponible' 'a' 'partir' 'del'
 'MARTES' '1' 'DE' 'MARZO' '!' '#cantwait' '#allyouneedisecuador'
 'https://t.co/KxDtLEIDC4']","['lang1' 'lang1' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'other' 'lang1' 'lang1' 'other']",positive
1639,"['“' '@MSDAYANAAVILA' ':' 'With' 'the' 'beautiful' '@AngieEstilo' '🎥😘'
 'http://t.co/LiM8zcKnPU' '”' 'fall' 'trends' 'Moda' 'de' 'otoño' 'con'
 'mi' 'Bella' 'Modelo' '.']","['other' 'other' 'other' 'lang1' 'lang1' 'lang1' 'other' 'other' 'other'
 'other' 'lang1' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'other']",positive
1640,"['Ese' 'dolor' 'de' 'que' 'va' 'a' 'empezar' 'una' 'infeccion' 'de'
 'garganta' 'soon' '😫']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang1' 'other']",positive
1641,"['Ese' 'mini' 'heart' 'attack' 'cuando' 'el' 'celular' 'casi' 'se' 'te'
 'cae' 'en' 'la' 'cara' '.']","['lang2' 'lang2' 'lang1' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']",positive
1642,"['El' 'HACKER' 'VAMPIRO' '!!' 'T_T' '|' 'Juegos' 'del' 'hambre' '|'
 'Minecraft' ':' 'https://t.co/T0WLAWwMRB' 'vía' '@YouTube']","['lang2' 'lang1' 'lang2' 'other' 'other' 'other' 'lang2' 'lang2' 'lang2'
 'other' 'lang1' 'other' 'other' 'lang2' 'other']",positive
1643,"['Priorities' 'level' 'mami' ':' '""' 'te' 'compre' 'munchies' 'para' 'el'
 'viaje' '""']","['lang1' 'lang1' 'lang2' 'other' 'other' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'other']",positive
1644,"['Y' 'cuando' 'llegó' 'al' 'lobby' ',' 'como' 'quiera' 'no' 'abrió' ':-)'
 'so' 'tuvimos' 'que' 'llamar' 'al' 'guardia' '.']","['lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'other' 'lang2' 'lang2' 'lang2'
 'lang2' 'other' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']",positive
1645,"['@franbeauchamp' 'u' 'u' 'es' 'buena' 'deja' 'llegar' 'a' 'casa'
 'jjajaja' 'salgo' 'a' 'las' '1:30' 'de' 'clases']","['other' 'lang1' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2']",positive
1646,"['by' '@jessicacediel' '""' 'Gracias' 'a' 'todos' 'por' 'la' 'buena'
 'compañía' 'hoy' 'en' '@elgordoylaflaca' '!' 'Mi' 'vestuario' '…'
 'http://t.co/b0Cf3JiDHQ']","['lang1' 'other' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'other' 'other' 'lang2' 'lang2' 'other' 'other']",positive
1647,"['Una' 'con' 'la' 'señorita' 'Zomber' '@KatiaLisob' 'y' 'con' 'el'
 'Leonsito' '!!' 'Jaja' 'https://t.co/UV7zyIUYrB']","['lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'other' 'lang2' 'lang2' 'lang2'
 'lang2' 'other' 'lang2' 'other']",positive
1648,"['Dejo' 'que' 'se' 'me' 'sequen' 'las' 'uñas' 'de' 'los' 'pies' 'y' 'me'
 'pongo' 'jomas' '.' '#ImAGirlyTomboy' '😂']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang1' 'other']",positive
1649,"['voy' 'a' 'explotar' 'mi' 'story' 'con' 'fotos' 'de' 'mis' 'sobrinos' ','
 'sorry']","['lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'other' 'lang1']",positive
1650,"['Que' 'la' 'suerte' 'los' 'acompañe' '!!' '!!' '!' '#elvacilondelagatita'
 '#historico' '#powerball' 'https://t.co/HtpFNu9fjv']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other' 'other' 'lang2'
 'lang2' 'lang1' 'other']",positive
1651,"['Con' 'la' 'familia' 'en' 'On' 'The' 'border' 'celebrando' 'el' 'cumple'
 'de' 'la' 'suegra']","['lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang1' 'lang1' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2']",positive
1652,"['El' 'vlog' 'de' 'hoy' ':' 'NO' 'ME' 'DES' 'UN' 'BESO'
 'http://t.co/NKHHtssLmu']","['lang2' 'lang1' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'other']",positive
1653,"['Imagen' 'Modeling' 'by' 'La' 'Gatita' 'con' 'nuevos' 'cursos' 'de'
 'modelaje' 'durante' 'las' 'tardes' '..' 'registraciones' '…'
 'https://t.co/LaWVZu9GDW']","['lang2' 'lang1' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'other' 'other']",positive
1654,"['Buenas' 'noches' 'Zombers' 'mañana' 'será' 'otro' 'dia' 'descansen' '!!'
 '!' '🌠🌌' 'http://t.co/cHFanU0PHw']","['lang2' 'lang2' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other'
 'other' 'other' 'other']",positive
1655,"['Alguien' 'debe' 'de' 'saber' 'si' 'sabes' 'dont' 'be' 'rude' 'y'
 'comenta' ':)']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang1' 'lang1'
 'lang2' 'lang2' 'other']",positive
1656,"['#ElvacilondelaGatita' 'Gracias' '❤' '️' 'por' 'la' 'sintonía' 'familia'
 '.' '#MorningShow' '#radio' 'https://t.co/W2nU6EnGic']","['lang2' 'lang2' 'other' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'other'
 'lang1' 'lang2' 'other']",positive
1657,"['Friday' '!!' '!!' '!!' '!' 'Cuanto' 'te' 'extrañe' '--' '--' 'Lol'
 'GMorning' 'FAMILIA' '#elvacilondelagatita' 'https://t.co/wPt4gmFUl5']","['lang1' 'other' 'other' 'other' 'other' 'lang2' 'lang2' 'lang2' 'other'
 'other' 'lang1' 'lang1' 'lang2' 'lang2' 'other']",positive
1658,"['🍀🌾' 'every' 'day' 'is' 'a' 'good' 'day' 'to' 'give' 'love' '🌿🍂'
 'Maxifalda' 'azul' 'estampada' '#salhuaclothing' 'http://t.co/BJtzaRCyWH']","['other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'other' 'lang2' 'lang2' 'lang2' 'lang1' 'other']",positive
1659,"['Ellos' 'saben' 'que' 'cuando' 'mamá' 'esta' 'limpiando' 'el' 'piso' ','
 'está' 'Prohibido' 'pasar' '!.' '..' 'Lol' 'http://t.co/Du9exQNmxm']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'other' 'lang2' 'lang2' 'lang2' 'other' 'other' 'lang1' 'other']",positive
1660,"['El' 'vlog' 'de' 'hoy' ',' 'pequeños' 'lacitos' 'de' 'regalo' ':' 'HE'
 'ACABADO' 'LLORANDO' 'https://t.co/K6zsxJ0Zzk']","['lang2' 'lang1' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2'
 'other' 'lang2' 'lang2' 'lang2' 'other']",positive
1661,"['@limefabian' 'jajaja' 'pero' 'eso' 'está' 'cool' '..' 'yo' 'llego' 'a'
 'las' '5am' 'al' 'aeropuerto' '😐']","['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'other' 'lang2' 'lang2'
 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'other']",positive
1662,"['Buenas' 'noches' 'zombers' '!!' 'Aunque' 'quizas' 'deberia' 'decir'
 'buenos' 'dias' '!' '😝😋' 'mi' 'horario' 'se' 'ha' 'desfasado' '!']","['lang2' 'lang2' 'lang1' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'other' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']",positive
1663,"['@edu_fuertes1' '@boli690' 'runs' 'in' 'the' 'fam' '..' 'Pero' 'no' 'me'
 'estaba' 'quejando' 'tho' ',' 'estaba' 'diciendo']","['other' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang1' 'other' 'lang2' 'lang2']",positive
1664,"['@javiidiaz06' '@MartinDiaz5614' 'Bullies' ',' 'bullys' '.' 'No' 'se'
 'como' 'se' 'escribe' '.']","['other' 'other' 'lang1' 'other' 'lang1' 'other' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'other']",positive
1665,"['""' '@OMGtrolls' ':' 'Look' 'at' 'his' 'cute' 'belly' '!'
 'http://t.co/em1RfJHewW""AYYY' 'YO' 'QUIEROOO' ':)']","['other' 'other' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other'
 'other' 'lang2' 'lang2' 'other']",positive
1666,"['Working' 'plus' 'fun' '!' 'Love' 'my' 'job' '!' '#escuadrondelabelleza'
 '@gabrielsamra' '@UnNuevoDia' '@telemundo' 'http://t.co/Qc50ThXd']","['lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'other' 'lang2'
 'other' 'other' 'other' 'other']",positive
1667,"['@veronikarossy' 'i' 'feel' 'u' '..' '.' 'Yo' 'no' 'soy' 'muy' 'paciente'
 'que' 'digamos' '😂']","['other' 'lang1' 'lang1' 'lang1' 'other' 'other' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'other']",positive
1668,"['GOOD' 'Morning' '!' 'Celebrando' 'contigo' 'gracias' 'por' 'hacernos'
 'el' '#morningshow' 'Número' '1' '.' 'Este' 'logro' 'es' 'tuyo' '!…'
 'https://t.co/IPYKh9Zs2t']","['lang1' 'lang1' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang1' 'lang2' 'other' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'other'
 'other']",positive
1669,"['@fabiano_sants' '@13gsgs' 'es' 'una' 'mierda' 'de' 'serie' 'me' 'tiene'
 'harta' 'pero' 'aqui' 'me' 'tiene' 'viendola' 'again']","['other' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1']",positive
1670,"['Entro' 'a' 'mi' 'urbanización' 'y' 'mi' 'perra' 'está' 'janguiando'
 'con' 'el' 'guardia' ',' 'cool' '.']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'other' 'lang1' 'other']",positive
1671,"['Your' 'imagination' 'is' 'the' 'limit' '🙋' 'Para' 'todas' 'aquellas'
 'que' 'quieren' 'hacer' 'sus' 'pedidos' ',' 'escribenos' 'al' '📱'
 '096.880.7384' 'http://t.co/9loX7xHMFs']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'other'
 'other' 'other']",positive
1672,"['@mledesma98' '@davidcruzadoo' 'tienen' 'que' 'superar' 'eso' ',' 'sigo'
 'esperando' 'el' 'rematch']","['other' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2'
 'lang2' 'lang1']",positive
1673,"['@NEGROPR76' 'Grax' 'Honey' '!!' 'Celebramos' 'el' 'viernes' '!!' '!!'
 'Te' 'amo']","['other' 'lang2' 'lang1' 'other' 'lang2' 'lang2' 'lang2' 'other' 'other'
 'lang2' 'lang2']",positive
1674,"['@JulianaMojica5' 'jajaja' 'diablo' 'que' 'badtrip' ',' 'el' 'mío' 'fue'
 'que' 'la' 'lámpara' 'estuvo' 'mucho' 'tiempo' 'prendida' 'y' 'lo'
 'quemó' '💔']","['other' 'lang2' 'lang2' 'lang2' 'lang1' 'other' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'other']",negative
1675,['@dccsierra' 'pero' 'es' 'que' 'no' 'soy' 'tan' 'cool' 'como' 'tu' '😫😫😭'],"['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang2'
 'lang2' 'other']",positive
1676,"['Cuantas' 'pizarras' 'habreis' 'manchado' 'escribiendo' 'cosas' 'de'
 'Zombers' '??' 'XD' '😍😍' '❤' '️' '❤' '️' 'http://t.co/xa5H8i8WTq']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'other'
 'other' 'other' 'other' 'other' 'other' 'other' 'other']",positive
1677,"['Ready' 'Para' 'el' '#friday' 'Siempre' 'con' 'una' 'sonrisa' 'y' 'la'
 'alegria' 'que' 'solo' 'tiene' '#elvacilondelagatita' '6' 'a' '11' '…'
 'http://t.co/cUa89LcxrT']","['lang1' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'other'
 'other' 'other']",positive
1678,"['Volveria' 'a' 'freshman' 'year' 'tan' 'cabron' '.' 'Omg' 'best' 'year'
 '.']","['lang2' 'lang2' 'lang1' 'lang1' 'lang2' 'lang2' 'other' 'lang1' 'lang1'
 'lang1' 'other']",positive
1679,['@BrianaaLeeRc' 'gastritis' '.' 'Spent' 'all' 'night' 'throwing' 'up'],['other' 'lang2' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'],negative
1680,"['@beatrizmiami' 'la' 'ame' '!' 'Ya' 'quiero' 'mi' 'bolsa' 'u' 'zapatos'
 '.' 'Una' 'línea' 'original' 'y' 'bella' '!' '@WendellFR' '👠👜']","['other' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1'
 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other'
 'other']",positive
1681,"['@andreanicole411' '😁😁😁✨' 'y' 'yo' 'a' 'ti' 'baby' 'estoy' 'loca' 'por'
 'verteeee']","['other' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2'
 'lang2' 'lang2']",positive
1682,"['@nuteIla' '@mayarodriguez96' 'jajajajajajajajaja' 'esto' 'está' 'bien'
 'tú' ',' 'de' 'que' 'las' 'copas' 'parecen' 'de' 'tu' 'casa' 'y' 'to']","['other' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1']",positive
1683,"['@luciasdurand' 'si' 'si' ',' 'ya' 'vi' 'los' 'miles' 'de' 'stories' 'de'
 'varias' 'de' 'ustedes' 'jajajaja']","['other' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2']",positive
1684,"['bailamos' 'hasta' 'ensima' 'de' 'las' 'butacas' '..' 'shit' 'white'
 'girls' 'do']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang1' 'lang1'
 'lang1' 'lang1']",positive
1685,"['“' '@esthimarie' ':' '@natigvila' 'siento' 'que' 'es' 'embuste' 'y' 'to'
 '”' 'x2']","['other' 'other' 'other' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang1' 'other' 'other']",negative
1686,"['@p_cabrero' '@colon_andre' 'Jajajaja' 'true' 'de' 'la' 'dona' '..' 'ya'
 'me' 'recuerdo' 'de' 'la' 'pavera' 'de' 'fotoshotting' 'de' ""pescado:')""]","['other' 'other' 'lang2' 'lang1' 'lang2' 'lang2' 'lang2' 'other' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2']",positive
1687,"['este' 'nap' 'estaba' 'tan' 'rico' 'que' 'creo' 'que' 'voy' 'a' 'coger'
 'otro' '..' '.']","['lang2' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'other' 'other']",positive
1688,"['ayer' 'fue' 'blast' 'from' 'the' 'past' '..' 'gente' 'random' 'que' 'no'
 'veia' 'hace' 'años']","['lang2' 'lang2' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang2' 'lang1'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2']",positive
1689,"['no' 'careo' 'que' 'sea' 'posible' 'top' 'la' 'fuga' 'del' 'año' 'pasado'
 '..' '.' '@mememecaigo']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'other' 'other' 'other']",negative
1690,"['Una' 'de' 'las' 'piezas' 'favoritas' 'de' 'la' 'nueva' 'colección'
 '#urbanvibes' 'el' 'skinny' 'waist' 'pant' '.' '#runway' '…'
 'https://t.co/1FYMi1NOGi']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang1' 'lang2' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'other' 'other']",positive
1691,"['@PaolaMDiaz12' 'la' 'de' 'la' 'toalla' '?' 'Tírala' ',' 'ya' 'la' 'has'
 'tirado']","['other' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'other' 'lang2'
 'lang2' 'lang1' 'lang2']",positive
1692,"['Imagen' 'Modeling' 'by' 'La' 'Gatita' 'Nuevos' 'cursos' 'para' 'niñas'
 'de' '4' 'años' 'en' 'adelante' '.' 'Regístrate' 'en' '…'
 'https://t.co/soEO0MdxXa']","['lang2' 'lang1' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'other'
 'other']",positive
1693,"['Estoy' 'loca' 'por' 'que' 'pase' 'el' 'prom' 'para' 'cortarme' 'el'
 'pelo' 'cortito']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2']",positive
1694,"['me' 'tomé' 'un' 'café' 'y' 'no' 'se' 'me' 'quitó' 'el' 'sueño' ',' 'eso'
 'es' 'bullshit']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang1']",positive
1695,"['""' 'Failing' 'to' 'prepare' 'is' 'preparing' 'to' 'fail' '""' 'lo' 'que'
 'me' 'manda' 'mi' 'coach' '..' '.']","['other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'other' 'other']",positive
1696,"['by' '@chinoynacho' '""' 'Queremos' 'desearle' 'un' 'Feliz' 'Cumpleaños'
 'a' 'nuestra' 'queria' 'amiga' 'y' 'stylist' '@AngieEstilo' '…'
 'http://t.co/0fM99LU8x8']","['lang1' 'other' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'other' 'other' 'other']",positive
1697,"['la' 'tipa' 'seguia' 'sacando' 'sangre' 'como' 'si' 'fuese' 'de' 'gratis'
 '..' '.' 'nigga' 'you' 'aware' 'I' 'need' 'that']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'other' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1']",positive
1698,['Desconozco' 'hasta' 'mi' 'mood' '.'],['lang2' 'lang2' 'lang2' 'lang1' 'other'],negative
1699,"['Ready' '!' 'Mas' 'feliz' 'no' 'puedo' 'estar' '!' 'Te' 'amo' 'baby'
 'relax' '..' '.']","['lang1' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2'
 'lang2' 'lang1' 'lang1' 'other' 'other']",positive
1700,"['monografia' ',' 'why' 'are' 'you' 'is' 'so' 'hard' 'to' 'finish' '?']","['lang2' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'other']",negative
1701,"['Hoy' 'me' 'voy' 'pronto' 'para' 'levantarme' 'antes' 'y' 'ponerme' 'con'
 'el' 'video' '!' '^^' 'Buenas' 'noches' 'zombers' '!' '❤' '️🌙⭐️']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'other' 'other' 'lang2' 'lang2' 'lang1' 'other'
 'other' 'other']",positive
1702,"['Deberia' 'ser' 'un' 'stress' 'reliever' 'dog' 'donde' 'mi' 'unica'
 'preocupacion' 'sea' 'que' 'me' 'soben' 'y' 'me' 'den' 'amor' '💆🏼']","['lang2' 'lang2' 'lang2' 'lang1' 'lang1' 'lang1' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'other']",positive
1703,"['So' 'tengo' 'que' 'hacer' 'un' 'árbol' 'genealógico' 'y' 'tengo' 'a'
 'toda' 'mi' 'familia' 'buscando' 'fotos' 'y' 'fechas']","['lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2']",positive
1704,"['“' '@Alessandraville' ':' 'Gracias' 'a' '@beatrizmiami' 'y'
 '@angieestilo' 'por' 'mi' 'look' 'de' 'hoy' '!' 'unnuevodia'
 'http://t.co/IW033DzktN' '”' '👍👗👠']","['other' 'other' 'other' 'lang2' 'lang2' 'other' 'lang2' 'other' 'lang2'
 'lang2' 'lang1' 'lang2' 'lang2' 'other' 'lang2' 'other' 'other' 'other']",positive
1705,"['Pero' 'lo' 'único' 'que' 'me' 'motiva' 'para' 'ir' 'es' 'un' 'popcorn'
 'con' 'icee' '.']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang1' 'lang2' 'lang1' 'other']",positive
1706,"['Cosas' 'que' 'he' 'aprendido' 'en' 'college' ':' 'email' 'is' 'a'
 'valuable' 'tool']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'other' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1']",positive
1707,"['Instructions' 'not' 'included' 'me' ""mato:'(""]",['lang1' 'lang1' 'lang1' 'lang2' 'lang2'],neutral
1708,['ESTA' 'NOCHE' 'NADIE' 'LA' 'FUCKING' 'SUPERAAAAA'],['lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang2'],neutral
1709,"['@lorraine_otero' 'jajajajajaja' 'en' 'shock' 'me' 'quedé' 'hoy' ','
 'que' 'vas' 'a' 'hacer' 'mañana' ',' 'study' '??']","['other' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2' 'lang2' 'other' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang1' 'other']",positive
1710,"['El' 'vlog' 'de' 'hoy' ',' 'pequeñas' 'gotitas' 'de' 'agua' ':'
 'EXPLOSIÓN' 'DE' 'CABEZA' 'https://t.co/psLwubEpyZ']","['lang2' 'lang1' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2'
 'other' 'lang2' 'lang2' 'lang2' 'other']",neutral
1711,"['El' 'vlog' 'de' 'hoy' ',' 'pequeños' 'amigos' 'un' 'poco' 'raros' ':'
 'SOLEDAD' ',' 'MARCAS' 'Y' 'ERUCTO' 'EN' 'LA' 'CARA'
 'https://t.co/S5qrIf6nIi']","['lang2' 'lang1' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'other' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'other']",positive
1712,['@eljosean96' 'Chubby' 'faced' '!' 'jajajaja'],['other' 'lang1' 'lang1' 'other' 'lang2'],neutral
1713,"['Por' 'fin' 'un' 'domingo' 'libre' '!!' '!.' '..' 'con' 'mi' 'Honey'
 '@NEGROPR76']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other' 'other' 'lang2'
 'lang2' 'lang1' 'other']",neutral
1714,"['Acabo' 'de' 'encontrar' 'la' 'estación' 'de' 'reggetón' 'más' 'cabrona'
 'ever' '.']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang1' 'other']",positive
1715,['@javiidiaz06' 'I' 'know' 'pero' 'anyway' '😂'],['other' 'lang1' 'lang1' 'lang2' 'lang1' 'other'],neutral
